month,chance_X,precip_req_cm
15oct-30nov,1,0.1
1nov-30nov,1,0.1
15oct-30nov,1,0.15000000000000002
1nov-30nov,1,0.15000000000000002
15oct-30nov,1,0.2
1nov-30nov,1,0.2
15oct-30nov,1,0.25
1nov-30nov,1,0.25
15oct-30nov,1,0.30000000000000004
1nov-30nov,0.967741935483871,0.30000000000000004
15oct-30nov,1,0.35
1nov-30nov,0.967741935483871,0.35
15oct-30nov,1,0.4
1nov-30nov,0.967741935483871,0.4
15oct-30nov,1,0.45000000000000007
1nov-30nov,0.9354838709677419,0.45000000000000007
15oct-30nov,1,0.5
1nov-30nov,0.9354838709677419,0.5
15oct-30nov,1,0.55
1nov-30nov,0.9354838709677419,0.55
15oct-30nov,1,0.6
1nov-30nov,0.9032258064516129,0.6
15oct-30nov,1,0.65
1nov-30nov,0.8709677419354839,0.65
15oct-30nov,1,0.7000000000000001
1nov-30nov,0.8709677419354839,0.7000000000000001
15oct-30nov,1,0.75
1nov-30nov,0.8709677419354839,0.75
15oct-30nov,1,0.8
1nov-30nov,0.8709677419354839,0.8
15oct-30nov,1,0.85
1nov-30nov,0.8709677419354839,0.85
15oct-30nov,1,0.9
1nov-30nov,0.8709677419354839,0.9
15oct-30nov,1,0.9500000000000001
1nov-30nov,0.8709677419354839,0.9500000000000001
15oct-30nov,1,1
1nov-30nov,0.8709677419354839,1
15oct-30nov,0.967741935483871,1.05
1nov-30nov,0.8709677419354839,1.05
15oct-30nov,0.967741935483871,1.1
1nov-30nov,0.8709677419354839,1.1
15oct-30nov,0.967741935483871,1.1500000000000001
1nov-30nov,0.8387096774193549,1.1500000000000001
15oct-30nov,0.967741935483871,1.2000000000000002
1nov-30nov,0.8387096774193549,1.2000000000000002
15oct-30nov,0.967741935483871,1.2500000000000002
1nov-30nov,0.8387096774193549,1.2500000000000002
15oct-30nov,0.967741935483871,1.3000000000000003
1nov-30nov,0.8387096774193549,1.3000000000000003
15oct-30nov,0.967741935483871,1.35
1nov-30nov,0.8387096774193549,1.35
15oct-30nov,0.967741935483871,1.4000000000000001
1nov-30nov,0.8387096774193549,1.4000000000000001
15oct-30nov,0.967741935483871,1.4500000000000002
1nov-30nov,0.8387096774193549,1.4500000000000002
15oct-30nov,0.967741935483871,1.5000000000000002
1nov-30nov,0.8387096774193549,1.5000000000000002
15oct-30nov,0.967741935483871,1.5500000000000003
1nov-30nov,0.8387096774193549,1.5500000000000003
15oct-30nov,0.967741935483871,1.6
1nov-30nov,0.8387096774193549,1.6
15oct-30nov,0.967741935483871,1.6500000000000001
1nov-30nov,0.8387096774193549,1.6500000000000001
15oct-30nov,0.967741935483871,1.7000000000000002
1nov-30nov,0.8387096774193549,1.7000000000000002
15oct-30nov,0.967741935483871,1.7500000000000002
1nov-30nov,0.8387096774193549,1.7500000000000002
15oct-30nov,0.967741935483871,1.8000000000000003
1nov-30nov,0.8387096774193549,1.8000000000000003
15oct-30nov,0.967741935483871,1.85
1nov-30nov,0.8387096774193549,1.85
15oct-30nov,0.967741935483871,1.9000000000000001
1nov-30nov,0.8387096774193549,1.9000000000000001
15oct-30nov,0.967741935483871,1.9500000000000002
1nov-30nov,0.8387096774193549,1.9500000000000002
15oct-30nov,0.967741935483871,2
1nov-30nov,0.8387096774193549,2
15oct-30nov,0.967741935483871,2.0500000000000003
1nov-30nov,0.8064516129032258,2.0500000000000003
15oct-30nov,0.967741935483871,2.1
1nov-30nov,0.8064516129032258,2.1
15oct-30nov,0.967741935483871,2.1500000000000004
1nov-30nov,0.8064516129032258,2.1500000000000004
15oct-30nov,0.967741935483871,2.2
1nov-30nov,0.8064516129032258,2.2
15oct-30nov,0.967741935483871,2.25
1nov-30nov,0.8064516129032258,2.25
15oct-30nov,0.967741935483871,2.3000000000000003
1nov-30nov,0.7741935483870968,2.3000000000000003
15oct-30nov,0.967741935483871,2.35
1nov-30nov,0.7741935483870968,2.35
15oct-30nov,0.967741935483871,2.4000000000000004
1nov-30nov,0.7419354838709677,2.4000000000000004
15oct-30nov,0.967741935483871,2.45
1nov-30nov,0.7419354838709677,2.45
15oct-30nov,0.967741935483871,2.5000000000000004
1nov-30nov,0.7419354838709677,2.5000000000000004
15oct-30nov,0.967741935483871,2.5500000000000003
1nov-30nov,0.7419354838709677,2.5500000000000003
15oct-30nov,0.967741935483871,2.6
1nov-30nov,0.7096774193548387,2.6
15oct-30nov,0.967741935483871,2.6500000000000004
1nov-30nov,0.7096774193548387,2.6500000000000004
15oct-30nov,0.9354838709677419,2.7
1nov-30nov,0.7096774193548387,2.7
15oct-30nov,0.9354838709677419,2.7500000000000004
1nov-30nov,0.7096774193548387,2.7500000000000004
15oct-30nov,0.9032258064516129,2.8000000000000003
1nov-30nov,0.7096774193548387,2.8000000000000003
15oct-30nov,0.9032258064516129,2.85
1nov-30nov,0.6774193548387096,2.85
15oct-30nov,0.9032258064516129,2.9000000000000004
1nov-30nov,0.6774193548387096,2.9000000000000004
15oct-30nov,0.9032258064516129,2.95
1nov-30nov,0.6774193548387096,2.95
15oct-30nov,0.9032258064516129,3.0000000000000004
1nov-30nov,0.6451612903225806,3.0000000000000004
15oct-30nov,0.9032258064516129,3.0500000000000003
1nov-30nov,0.6451612903225806,3.0500000000000003
15oct-30nov,0.9032258064516129,3.1
1nov-30nov,0.6451612903225806,3.1
15oct-30nov,0.9032258064516129,3.1500000000000004
1nov-30nov,0.6451612903225806,3.1500000000000004
15oct-30nov,0.9032258064516129,3.2
1nov-30nov,0.6451612903225806,3.2
15oct-30nov,0.9032258064516129,3.2500000000000004
1nov-30nov,0.6451612903225806,3.2500000000000004
15oct-30nov,0.9032258064516129,3.3000000000000003
1nov-30nov,0.6451612903225806,3.3000000000000003
15oct-30nov,0.9032258064516129,3.35
1nov-30nov,0.6451612903225806,3.35
15oct-30nov,0.9032258064516129,3.4000000000000004
1nov-30nov,0.6451612903225806,3.4000000000000004
15oct-30nov,0.9032258064516129,3.45
1nov-30nov,0.6129032258064516,3.45
15oct-30nov,0.8709677419354839,3.5
1nov-30nov,0.6129032258064516,3.5
